qgl_1,bopd_1,qgl_2,bopd_2,qgl_3,bopd_3,qgl_4,bopd_4,qgl_5,bopd_5,qgl_6,bopd_6,qgl_7,bopd_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
225.0,0.0,225.0,162.5,225.0,0.0,225.0,0.0,225.0,0.0,225.0,0.0,225.0,0.0
325.0,0.0,325.0,216.11,325.0,432.5,325.0,0.0,325.0,0.0,325.0,0.0,325.0,0.0
450.0,0.0,450.0,221.23,450.0,562.42,450.0,303.55,450.0,303.55,450.0,303.55,450.0,303.55
550.0,0.0,550.0,209.17,550.0,599.34,550.0,382.37,550.0,382.37,550.0,382.37,550.0,382.37
675.0,414.1,675.0,183.39,675.0,618.45,675.0,374.16,675.0,374.16,675.0,374.16,675.0,374.16
775.0,429.79,775.0,157.08,775.0,621.33,775.0,333.25,775.0,333.25,775.0,333.25,775.0,333.25
900.0,433.21,900.0,119.15,900.0,614.85,900.0,258.03,900.0,258.03,900.0,258.03,900.0,258.03
1000.0,430.0,1000.0,85.69,1000.0,603.73,1000.0,184.74,1000.0,184.74,1000.0,184.74,1000.0,184.74
