index,q_ing_w1,fluid_w1,q_ing_w2,fluid_w2,q_ing_w3,fluid_w3,q_ing_w4,fluid_w4,q_ing_w5,fluid_w5
1,0.0,144.9,113.2,427.7,157.0,588.6,141.5,353.8,32.1,160.5
2,32.1,216.2,204.1,546.2,288.5,772.0,247.9,446.8,116.1,348.1
3,93.2,273.4,325.2,638.3,471.9,926.4,393.9,523.0,243.4,476.0
4,186.7,316.1,479.2,703.2,708.0,1039.0,589.9,585.6,446.8,597.0
5,316.3,345.9,671.0,746.0,1003.6,1115.8,832.5,624.4,742.6,697.4
6,490.2,367.5,902.9,767.8,1350.0,1148.1,1139.3,650.7,1143.2,768.9
7,721.1,383.9,1183.1,775.2,1789.5,1172.5,1527.6,668.3,1667.3,813.6
8,1013.4,392.1,1530.7,776.9,2319.6,1177.2,1983.0,667.4,2364.8,844.7
10,,,,,,,,,4397.9,856.6
11,,,,,,,,,5844.4,845.4
